fecha,hora,numero,signo,extraido_en,fecha_raw,hora_num,ultimo_digito,penultimo_digito,suma_digitos,paridad,signo_cod,rango_mil,año,mes,dia_mes,dia_semana,dias_desde_inicio
2025-05-02,4 pm,467,SAG,2025-12-20 04:00:01,02/05/2025,16,7,6,17,1,11,0-999,2025,5,2,4,120
2025-06-02,1 pm,735,CAP,2025-12-20 04:11:09,02/06/2025,13,5,3,15,1,7,0-999,2025,6,2,0,151
2025-06-02,10 pm,438,SAG,2025-12-20 04:11:09,02/06/2025,22,8,3,15,0,11,0-999,2025,6,2,0,151
2025-06-02,4 pm,227,ESC,2025-12-20 04:11:09,02/06/2025,16,7,2,11,1,1,0-999,2025,6,2,0,151
2025-07-02,1 pm,337,LEO,2025-12-20 04:21:55,02/07/2025,13,7,3,13,1,10,0-999,2025,7,2,2,181
2025-07-02,10 pm,43,VIR,2025-12-20 04:21:55,02/07/2025,22,3,4,7,1,6,0-999,2025,7,2,2,181
2025-07-02,4 pm,942,LEO,2025-12-20 04:21:55,02/07/2025,16,2,4,15,0,10,0-999,2025,7,2,2,181
2025-08-02,1 pm,627,TAU,2025-12-20 04:33:03,02/08/2025,13,7,2,15,1,0,0-999,2025,8,2,5,212
2025-08-02,10 pm,817,LIB,2025-12-20 04:33:03,02/08/2025,22,7,1,16,1,2,0-999,2025,8,2,5,212
2025-08-02,4 pm,904,GEM,2025-12-20 04:33:03,02/08/2025,16,4,0,13,0,5,0-999,2025,8,2,5,212
2025-09-02,1 pm,814,GEM,2025-12-20 04:44:11,02/09/2025,13,4,1,13,0,5,0-999,2025,9,2,1,243
2025-09-02,10 pm,538,GEM,2025-12-20 04:44:11,02/09/2025,22,8,3,16,0,5,0-999,2025,9,2,1,243
2025-09-02,4 pm,812,SAG,2025-12-20 04:44:11,02/09/2025,16,2,1,11,0,11,0-999,2025,9,2,1,243
2025-10-02,1 pm,335,LIB,2025-12-20 04:54:58,02/10/2025,13,5,3,11,1,2,0-999,2025,10,2,3,273
2025-10-02,10 pm,579,SAG,2025-12-20 04:54:59,02/10/2025,22,9,7,21,1,11,0-999,2025,10,2,3,273
2025-10-02,4 pm,355,GEM,2025-12-20 04:54:58,02/10/2025,16,5,5,13,1,5,0-999,2025,10,2,3,273
2025-01-03,1 pm,520,LIB,2025-12-20 03:17:18,03/01/2025,13,0,2,7,0,2,0-999,2025,1,3,4,1
2025-01-03,10 pm,736,CAN,2025-12-20 03:17:18,03/01/2025,22,6,3,16,0,3,0-999,2025,1,3,4,1
2025-01-03,4 pm,986,VIR,2025-12-20 03:17:18,03/01/2025,16,6,8,23,0,6,0-999,2025,1,3,4,1
2025-02-03,1 pm,75,TAU,2025-12-20 03:28:25,03/02/2025,13,5,7,12,1,0,0-999,2025,2,3,0,32
2025-02-03,10 pm,604,ARI,2025-12-20 03:28:26,03/02/2025,22,4,0,10,0,9,0-999,2025,2,3,0,32
2025-02-03,4 pm,294,PIC,2025-12-20 03:28:25,03/02/2025,16,4,9,15,0,4,0-999,2025,2,3,0,32
2025-03-03,1 pm,921,GEM,2025-12-20 03:38:29,03/03/2025,13,1,2,12,1,5,0-999,2025,3,3,0,60
2025-03-03,10 pm,399,ESC,2025-12-20 03:38:29,03/03/2025,22,9,9,21,1,1,0-999,2025,3,3,0,60
2025-03-03,4 pm,542,ESC,2025-12-20 03:38:29,03/03/2025,16,2,4,11,0,1,0-999,2025,3,3,0,60
2025-04-03,1 pm,511,CAP,2025-12-20 03:49:37,03/04/2025,13,1,1,7,1,7,0-999,2025,4,3,3,91
2025-04-03,10 pm,375,CAP,2025-12-20 03:49:37,03/04/2025,22,5,7,15,1,7,0-999,2025,4,3,3,91
2025-04-03,4 pm,984,LIB,2025-12-20 03:49:37,03/04/2025,16,4,8,21,0,2,0-999,2025,4,3,3,91
2025-05-03,1 pm,510,GEM,2025-12-20 04:00:23,03/05/2025,13,0,1,6,0,5,0-999,2025,5,3,5,121
2025-05-03,10 pm,221,TAU,2025-12-20 04:00:23,03/05/2025,22,1,2,5,1,0,0-999,2025,5,3,5,121
2025-05-03,4 pm,362,TAU,2025-12-20 04:00:23,03/05/2025,16,2,6,11,0,0,0-999,2025,5,3,5,121
2025-06-03,1 pm,119,VIR,2025-12-20 04:11:30,03/06/2025,13,9,1,11,1,6,0-999,2025,6,3,1,152
2025-06-03,10 pm,352,GEM,2025-12-20 04:11:30,03/06/2025,22,2,5,10,0,5,0-999,2025,6,3,1,152
2025-06-03,4 pm,477,LIB,2025-12-20 04:11:30,03/06/2025,16,7,7,18,1,2,0-999,2025,6,3,1,152
2025-07-03,1 pm,514,GEM,2025-12-20 04:22:16,03/07/2025,13,4,1,10,0,5,0-999,2025,7,3,3,182
2025-07-03,10 pm,982,ARI,2025-12-20 04:22:17,03/07/2025,22,2,8,19,0,9,0-999,2025,7,3,3,182
2025-07-03,4 pm,526,ARI,2025-12-20 04:22:17,03/07/2025,16,6,2,13,0,9,0-999,2025,7,3,3,182
2025-08-03,1 pm,915,CAN,2025-12-20 04:33:24,03/08/2025,13,5,1,15,1,3,0-999,2025,8,3,6,213
2025-08-03,10 pm,187,SAG,2025-12-20 04:33:24,03/08/2025,22,7,8,16,1,11,0-999,2025,8,3,6,213
2025-08-03,4 pm,992,PIC,2025-12-20 04:33:24,03/08/2025,16,2,9,20,0,4,0-999,2025,8,3,6,213
2025-09-03,1 pm,967,VIR,2025-12-20 04:44:32,03/09/2025,13,7,6,22,1,6,0-999,2025,9,3,2,244
2025-09-03,10 pm,855,CAP,2025-12-20 04:44:33,03/09/2025,22,5,5,18,1,7,0-999,2025,9,3,2,244
2025-09-03,4 pm,282,VIR,2025-12-20 04:44:33,03/09/2025,16,2,8,12,0,6,0-999,2025,9,3,2,244
2025-10-03,1 pm,991,LEO,2025-12-20 04:55:20,03/10/2025,13,1,9,19,1,10,0-999,2025,10,3,4,274
2025-10-03,10 pm,746,LIB,2025-12-20 04:55:20,03/10/2025,22,6,4,17,0,2,0-999,2025,10,3,4,274
2025-10-03,4 pm,671,GEM,2025-12-20 04:55:20,03/10/2025,16,1,7,14,1,5,0-999,2025,10,3,4,274
2025-01-04,1 pm,332,VIR,2025-12-20 03:17:39,04/01/2025,13,2,3,8,0,6,0-999,2025,1,4,5,2
2025-01-04,10 pm,283,CAN,2025-12-20 03:17:39,04/01/2025,22,3,8,13,1,3,0-999,2025,1,4,5,2
