,numero,hora_num,dia_semana,mes,ultimo_digito,suma_digitos,dias_desde_inicio
numero,1.0,0.02844691668055508,-0.01886682927706315,-0.002583050580486088,0.05461398968490398,0.5794578818613795,-0.005973825700751494
hora_num,0.02844691668055508,1.0,-5.776950441529635e-17,1.4431924507258046e-17,0.026278629010355957,0.03987836688409044,6.887210153601802e-17
dia_semana,-0.01886682927706315,-5.776950441529635e-17,1.0,-0.008580428639432737,0.018739298574922344,0.019385620950839167,-0.010432140009165095
mes,-0.002583050580486088,1.4431924507258046e-17,-0.008580428639432737,1.0,0.029394625838107348,0.021645402821167926,0.9949764666537187
ultimo_digito,0.05461398968490398,0.026278629010355957,0.018739298574922344,0.029394625838107348,1.0,0.4953192825954256,0.03120194670819287
suma_digitos,0.5794578818613795,0.03987836688409044,0.019385620950839167,0.021645402821167926,0.4953192825954256,1.0,0.019688396018813403
dias_desde_inicio,-0.005973825700751494,6.887210153601802e-17,-0.010432140009165095,0.9949764666537187,0.03120194670819287,0.019688396018813403,1.0
